期号,红球,蓝球
2015060,"01,03,18,27,31,32",13
2015061,"06,18,22,26,32,33",4
2015062,"09,14,15,18,21,26",16
2015063,"01,07,09,16,22,32",12
2015064,"11,12,14,17,23,27",1
2015065,"08,10,14,19,26,29",12
2015066,"05,08,11,17,24,28",16
2015067,"02,05,08,24,25,31",14
2015068,"06,15,18,21,26,27",10
2015069,"01,13,17,18,23,30",15
2015070,"01,07,13,19,21,29",15
2015071,"08,18,20,28,29,31",8
2015072,"01,03,05,20,21,31",5
2015073,"01,02,17,22,26,27",4
2015074,"04,07,21,25,26,29",8
2015075,"06,11,13,19,21,32",4
2015076,"01,09,10,19,23,27",9
2015077,"01,06,08,10,13,27",16
2015078,"03,07,20,22,26,29",2
2015079,"09,14,15,20,26,32",11
2015080,"14,17,25,27,28,30",2
2015081,"13,20,22,26,28,31",13
2015082,"02,08,09,14,28,30",7
2015083,"06,07,16,18,29,32",5
2015084,"15,18,20,22,28,29",15
2015085,"02,08,25,27,28,29",5
2015086,"05,06,08,16,18,22",12
2015087,"09,15,16,19,20,28",11
2015088,"02,12,20,24,29,31",9
2015089,"12,14,19,27,28,29",1
2015090,"10,12,14,22,25,33",15
2015091,"05,07,17,19,22,31",11
2015092,"09,15,19,21,26,27",1
2015093,"01,03,13,21,25,31",8
2015094,"01,04,06,13,16,17",10
2015095,"04,15,21,28,30,31",4
2015096,"06,16,17,23,24,31",7
2015097,"09,12,14,20,26,27",4
2015098,"06,09,13,26,27,33",1
2015099,"06,07,10,11,14,22",9
2015100,"02,03,11,17,19,21",8
2015101,"08,16,22,24,28,29",5
2015102,"07,09,12,14,21,23",6
2015103,"06,08,13,26,30,32",14
2015104,"09,18,21,23,25,26",1
2015105,"09,10,16,19,20,26",12
2015106,"01,03,04,23,31,32",13
2015107,"07,14,16,18,21,25",8
2015108,"02,12,19,22,24,27",15
2015109,"01,08,09,16,32,33",13
2015110,"05,07,16,17,22,23",4
2015111,"08,14,16,18,20,30",12
2015112,"01,03,10,19,20,27",11
2015113,"01,05,07,08,19,27",12
2015114,"04,07,09,13,21,26",1
2015115,"01,07,08,14,24,32",3
2015116,"04,06,15,23,26,28",11
2015117,"04,11,12,18,26,32",12
2015118,"01,04,11,21,23,31",12
2015119,"02,08,10,18,23,31",8
2015120,"16,21,24,26,27,29",16
2015121,"01,03,20,21,28,29",12
2015122,"05,07,11,16,22,25",7
2015123,"05,08,09,12,22,28",7
2015124,"02,03,05,12,18,27",1
2015125,"05,13,22,27,30,33",10
2015126,"10,11,15,20,23,29",12
2015127,"07,10,19,22,27,33",6
2015128,"01,03,08,11,22,28",6
2015129,"05,08,11,16,18,27",4
2015130,"06,14,15,16,17,22",10
2015131,"10,12,13,19,22,26",3
2015132,"03,05,11,28,30,33",1
2015133,"02,03,13,20,22,24",15
2015134,"02,05,14,19,27,31",4
2015135,"01,12,14,18,26,32",7
2015136,"02,05,12,23,28,29",1
2015137,"14,22,23,27,28,31",12
2015138,"01,02,08,16,19,24",11
2015139,"01,10,13,18,25,27",9
2015140,"06,20,28,29,30,31",12
2015141,"03,08,19,25,27,28",2
2015142,"13,17,19,20,22,25",11
2015143,"13,15,19,20,21,32",4
2015144,"01,04,07,15,28,32",16
2015145,"07,08,15,19,20,24",13
2015146,"16,17,21,28,30,32",15
2015147,"08,09,16,23,24,30",5
2015148,"09,13,14,22,26,27",7
2015149,"09,10,20,21,22,33",9
2015150,"01,03,08,11,29,31",13
2015151,"05,06,08,23,31,32",11
2015152,"11,18,19,21,29,32",12
2015153,"08,11,15,22,27,29",3
2015154,"07,09,11,15,18,25",7
2016001,"06,13,16,18,20,22",13
2016002,"09,14,17,20,24,30",16
2016003,"01,10,14,23,26,28",1
2016004,"08,10,17,22,25,33",12
2016005,"11,14,18,20,31,33",14
2016006,"13,16,18,20,28,31",12
2016007,"05,12,14,20,27,29",6
2016008,"02,15,24,29,32,33",2
2016009,"10,14,24,25,27,32",4
2016010,"02,04,12,14,19,25",6
2016011,"03,08,10,15,22,29",12
2016012,"07,12,14,16,27,32",15
2016013,"07,12,21,22,26,31",1
2016014,"02,08,10,18,20,27",7
2016015,"01,02,14,22,25,26",7
2016016,"01,20,22,24,25,26",16
2016017,"05,06,08,20,22,30",5
2016018,"12,13,14,17,21,25",4
2016019,"06,13,16,17,23,30",10
2016020,"01,02,10,12,22,24",10
2016021,"09,11,13,22,24,26",5
2016022,"04,09,19,22,23,30",7
2016023,"03,06,10,19,25,29",7
2016024,"02,05,07,14,18,31",13
2016025,"04,11,12,17,24,30",12
2016026,"04,09,12,28,30,33",1
2016027,"11,13,15,17,19,31",5
2016028,"06,08,12,21,25,29",1
2016029,"12,15,18,20,21,27",15
2016030,"10,14,19,22,25,29",12
2016031,"03,08,10,19,26,33",3
2016032,"08,12,14,15,21,27",15
2016033,"06,17,18,20,27,29",15
2016034,"03,15,21,22,23,28",15
